Company Name	Exchange:Ticker	Primary Industry	CIQID
Apache Corporation	NasdaqGS:APA	Oil and Gas Exploration and Production	IQ169838
Apartment Investment and Management Company	NYSE:AIV	Residential REITs	IQ336458
Apple Inc.	NasdaqGS:AAPL	"Technology Hardware, Storage and Peripherals"	IQ24937
"Applied Materials, Inc."	NasdaqGS:AMAT	Semiconductor Equipment	IQ251230
Aptiv PLC	NYSE:APTV	Auto Parts and Equipment	IQ59502420
Archer-Daniels-Midland Company	NYSE:ADM	Agricultural Products	IQ251704
"Arista Networks, Inc."	NYSE:ANET	Communications Equipment	IQ33348547
Arthur J. Gallagher & Co.	NYSE:AJG	Insurance Brokers	IQ252186
"Assurant, Inc."	NYSE:AIZ	Multi-line Insurance	IQ4026111
AT&T Inc.	NYSE:T	Integrated Telecommunication Services	IQ100231
Atmos Energy Corporation	NYSE:ATO	Gas Utilities	IQ252684
"Autodesk, Inc."	NasdaqGS:ADSK	Application Software	IQ119902
"Automatic Data Processing, Inc."	NasdaqGS:ADP	Data Processing and Outsourced Services	IQ126269
"AutoZone, Inc."	NYSE:AZO	Automotive Retail	IQ25307
"AvalonBay Communities, Inc."	NYSE:AVB	Residential REITs	IQ329141
Avery Dennison Corporation	NYSE:AVY	Paper Packaging	IQ252978
Baker Hughes Company	NYSE:BKR	Oil and Gas Equipment and Services	IQ425005479
Ball Corporation	NYSE:BLL	Metal and Glass Containers	IQ170352
Bank of America Corporation	NYSE:BAC	Diversified Banks	IQ19049
Baxter International Inc.	NYSE:BAX	Health Care Equipment	IQ254571
"Becton, Dickinson and Company"	NYSE:BDX	Health Care Equipment	IQ103678
Berkshire Hathaway Inc.	NYSE:BRK.B	Multi-Sector Holdings	IQ255251
"Best Buy Co., Inc."	NYSE:BBY	Computer and Electronics Retail	IQ255397
Biogen Inc.	NasdaqGS:BIIB	Biotechnology	IQ29726
"Bio-Rad Laboratories, Inc."	NYSE:BIO	Life Sciences Tools and Services	IQ255743
"BlackRock, Inc."	NYSE:BLK	Asset Management and Custody Banks	IQ403413
Booking Holdings Inc.	NasdaqGS:BKNG	Internet and Direct Marketing Retail	IQ33254
BorgWarner Inc.	NYSE:BWA	Auto Parts and Equipment	IQ25708
"Boston Properties, Inc."	NYSE:BXP	Office REITs	IQ368278
Boston Scientific Corporation	NYSE:BSX	Health Care Equipment	IQ317627
Bristol-Myers Squibb Company	NYSE:BMY	Pharmaceuticals	IQ25798
Broadcom Inc.	NasdaqGS:AVGO	Semiconductors	IQ25016048
"Broadridge Financial Solutions, Inc."	NYSE:BR	Data Processing and Outsourced Services	IQ1032802
Brown-Forman Corporation	NYSE:BF.B	Distillers and Vintners	IQ256839
"C.H. Robinson Worldwide, Inc."	NasdaqGS:CHRW	Air Freight and Logistics	IQ368470
Cabot Oil & Gas Corporation	NYSE:COG	Oil and Gas Exploration and Production	IQ258181
"Cadence Design Systems, Inc."	NasdaqGS:CDNS	Application Software	IQ25941
Campbell Soup Company	NYSE:CPB	Packaged Foods and Meats	IQ258458
Capital One Financial Corporation	NYSE:COF	Consumer Finance	IQ336241
"Cardinal Health, Inc."	NYSE:CAH	Health Care Distributors	IQ172207
"CarMax, Inc."	NYSE:KMX	Automotive Retail	IQ356805
Carnival Corporation & Plc	NYSE:CCL	"Hotels, Resorts and Cruise Lines"	IQ258823
Carrier Global Corporation	NYSE:CARR	Building Products	IQ620281
Caterpillar Inc.	NYSE:CAT	Construction Machinery and Heavy Trucks	IQ259378
"Cboe Global Markets, Inc."	BATS:CBOE	Financial Exchanges and Data	IQ32624297
"CBRE Group, Inc."	NYSE:CBRE	Real Estate Services	IQ4204816
CDW Corporation	NasdaqGS:CDW	Technology Distributors	IQ332700
Celanese Corporation	NYSE:CE	Specialty Chemicals	IQ405277
Centene Corporation	NYSE:CNC	Managed Health Care	IQ26273
"CenterPoint Energy, Inc."	NYSE:CNP	Multi-Utilities	IQ279513
"CenturyLink, Inc."	NYSE:CTL	Alternative Carriers	IQ260149
Cerner Corporation	NasdaqGS:CERN	Health Care Technology	IQ259627
"CF Industries Holdings, Inc."	NYSE:CF	Fertilizers and Agricultural Chemicals	IQ22357184
"Charter Communications, Inc."	NasdaqGS:CHTR	Cable and Satellite	IQ19609
Chevron Corporation	NYSE:CVX	Integrated Oil and Gas	IQ98506
"Chipotle Mexican Grill, Inc."	NYSE:CMG	Restaurants	IQ26446
Chubb Limited	NYSE:CB	Property and Casualty Insurance	IQ203028
"Church & Dwight Co., Inc."	NYSE:CHD	Household Products	IQ261105
Cigna Corporation	NYSE:CI	Health Care Services	IQ172899
Cincinnati Financial Corporation	NasdaqGS:CINF	Property and Casualty Insurance	IQ260681
Cintas Corporation	NasdaqGS:CTAS	Diversified Support Services	IQ260725
"Cisco Systems, Inc."	NasdaqGS:CSCO	Communications Equipment	IQ19691
Citigroup Inc.	NYSE:C	Diversified Banks	IQ391687
"Citizens Financial Group, Inc."	NYSE:CFG	Regional Banks	IQ46051729
"Citrix Systems, Inc."	NasdaqGS:CTXS	Application Software	IQ26524
CME Group Inc.	NasdaqGS:CME	Financial Exchanges and Data	IQ2004577
CMS Energy Corporation	NYSE:CMS	Multi-Utilities	IQ257682
Cognizant Technology Solutions Corporation	NasdaqGS:CTSH	IT Consulting and Other Services	IQ386024
Colgate-Palmolive Company	NYSE:CL	Household Products	IQ262247
Comcast Corporation	NasdaqGS:CMCS.A	Cable and Satellite	IQ173341
Comerica Incorporated	NYSE:CMA	Regional Banks	IQ318670
